epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30.4636,0.84496,1.30394,1.20084,0.49185,0.30833,0.32567,0.14211,1.87938,3.39602,2.52472,0.0005941,0.0005941,0.0005941
43,31.174,0.8606,1.28714,1.17373,0.52956,0.26667,0.31154,0.15003,1.86509,3.26982,2.44543,0.0005842,0.0005842,0.0005842
44,31.9544,0.83235,1.31795,1.15843,0.57789,0.22685,0.33201,0.14208,1.86036,3.15461,2.43059,0.0005743,0.0005743,0.0005743
45,32.6574,0.82756,1.27236,1.18389,0.536,0.23012,0.29586,0.11198,1.90355,3.26514,2.46751,0.0005644,0.0005644,0.0005644
46,33.3848,0.81244,1.27162,1.16502,0.5301,0.36319,0.31722,0.0995,1.94124,3.27208,2.5712,0.0005545,0.0005545,0.0005545
47,34.0804,0.85418,1.20214,1.14232,0.43998,0.30807,0.34162,0.11342,1.98517,3.28861,2.67089,0.0005446,0.0005446,0.0005446
48,34.7858,0.80303,1.2263,1.18625,0.61942,0.23499,0.31263,0.1113,2.24292,3.69921,3.12957,0.0005347,0.0005347,0.0005347
49,35.4795,0.72007,1.15608,1.087,0.42607,0.18333,0.21242,0.09303,2.24049,3.5673,3.20981,0.0005248,0.0005248,0.0005248
50,36.2051,0.76962,1.13521,1.09234,0.57914,0.26667,0.23877,0.1011,2.21619,3.24903,3.03166,0.0005149,0.0005149,0.0005149
51,36.9101,0.78626,1.12129,1.14028,0.54817,0.39718,0.29869,0.10764,2.19736,3.23827,2.89665,0.000505,0.000505,0.000505
52,37.671,0.71106,1.07814,1.09456,0.36466,0.375,0.33534,0.10391,2.21586,3.36764,3.03908,0.0004951,0.0004951,0.0004951
53,38.3985,0.76051,1.09605,1.12858,0.37018,0.33333,0.28976,0.12814,2.29732,3.48237,3.19411,0.0004852,0.0004852,0.0004852
54,39.1207,0.74696,1.06094,1.08729,0.46818,0.45883,0.40598,0.15899,2.1417,2.96201,2.82824,0.0004753,0.0004753,0.0004753
55,39.8572,0.67225,1.13439,1.09835,0.70693,0.44998,0.47076,0.18185,1.96189,2.69217,2.49332,0.0004654,0.0004654,0.0004654
56,40.6371,0.69516,1.10894,1.10575,0.70725,0.40133,0.41366,0.18153,1.9381,2.59418,2.39664,0.0004555,0.0004555,0.0004555
57,41.3772,0.66961,1.05418,1.08845,0.81392,0.39014,0.47173,0.19606,1.90734,2.51369,2.35361,0.0004456,0.0004456,0.0004456
58,42.2024,0.66685,1.02757,1.07407,0.52631,0.39246,0.43326,0.19422,1.89384,2.49391,2.40562,0.0004357,0.0004357,0.0004357
59,42.9376,0.67489,1.01133,1.0528,0.60207,0.43057,0.48238,0.18793,1.89564,2.4133,2.47986,0.0004258,0.0004258,0.0004258
60,43.6812,0.7086,1.06832,1.10818,0.60133,0.46262,0.51614,0.19825,1.95333,2.47779,2.50269,0.0004159,0.0004159,0.0004159
61,44.4147,0.66618,1.02239,1.0629,0.46343,0.35556,0.3733,0.17536,1.97847,2.50456,2.58959,0.000406,0.000406,0.000406
62,45.157,0.67255,1.01903,1.06646,0.3302,0.38666,0.34588,0.15331,2.06487,2.52578,2.80249,0.0003961,0.0003961,0.0003961
63,45.8784,0.65102,0.93349,1.0549,0.37265,0.45278,0.37514,0.16344,2.07448,2.3835,2.78895,0.0003862,0.0003862,0.0003862
64,46.6103,0.64599,0.93274,1.03275,0.55804,0.47263,0.45609,0.18954,2.0913,2.36042,2.76532,0.0003763,0.0003763,0.0003763
65,47.3326,0.63394,0.96833,1.05547,0.65062,0.47532,0.4663,0.19016,2.06851,2.39206,2.75696,0.0003664,0.0003664,0.0003664
66,48.063,0.64075,0.93057,1.05603,0.53742,0.50868,0.53263,0.21382,1.99027,2.34155,2.66729,0.0003565,0.0003565,0.0003565
67,48.7852,0.61874,0.89768,1.02019,0.45391,0.53928,0.49734,0.21818,1.99562,2.36421,2.687,0.0003466,0.0003466,0.0003466
68,49.5105,0.58135,0.86321,1.001,0.47864,0.49654,0.48126,0.20787,2.01495,2.3462,2.71944,0.0003367,0.0003367,0.0003367
69,50.2389,0.61122,0.88553,1.02308,0.68871,0.39327,0.39861,0.18225,2.06724,2.33963,2.747,0.0003268,0.0003268,0.0003268
70,50.9698,0.6196,0.91892,1.04234,0.54739,0.43889,0.40965,0.18044,2.14308,2.38454,2.75338,0.0003169,0.0003169,0.0003169
71,51.6943,0.59791,0.87601,1.04532,0.43973,0.48018,0.44048,0.18872,2.1329,2.36046,2.74557,0.000307,0.000307,0.000307
72,52.4203,0.60769,0.85845,1.0231,0.45124,0.45752,0.42514,0.18781,2.04364,2.35853,2.5951,0.0002971,0.0002971,0.0002971
73,53.138,0.56644,0.85913,1.0114,0.51449,0.46097,0.43554,0.20024,1.93962,2.38597,2.4485,0.0002872,0.0002872,0.0002872
74,53.935,0.5814,0.84098,1.00415,0.54704,0.48056,0.48028,0.23426,1.89871,2.19373,2.36789,0.0002773,0.0002773,0.0002773
75,54.6511,0.56027,0.85814,1.00896,0.58625,0.47736,0.48165,0.25748,1.88246,2.09723,2.35709,0.0002674,0.0002674,0.0002674
76,55.3772,0.57816,0.83609,1.02797,0.55287,0.49453,0.47863,0.23597,1.99817,2.05817,2.45506,0.0002575,0.0002575,0.0002575
77,56.0962,0.55316,0.75223,0.97532,0.52571,0.50593,0.50982,0.23234,2.0221,2.05047,2.49367,0.0002476,0.0002476,0.0002476
78,56.8199,0.55424,0.84418,1.00216,0.51957,0.44071,0.48095,0.2324,2.00762,2.11956,2.44696,0.0002377,0.0002377,0.0002377
79,57.5414,0.61034,0.85845,1.03017,0.47655,0.43793,0.46078,0.22777,1.97774,2.17278,2.41044,0.0002278,0.0002278,0.0002278
80,58.2707,0.60091,0.84464,1.0102,0.58125,0.36334,0.4542,0.21544,2.09239,2.26417,2.58262,0.0002179,0.0002179,0.0002179
81,58.9928,0.5476,0.78737,0.97403,0.66471,0.34464,0.44906,0.20421,2.04997,2.35678,2.58742,0.000208,0.000208,0.000208
82,59.7214,0.54387,0.83056,1.00437,0.60595,0.429,0.42367,0.19084,2.08357,2.3469,2.63419,0.0001981,0.0001981,0.0001981
83,60.4402,0.57358,0.8146,0.99322,0.54799,0.4242,0.45583,0.19702,2.04518,2.30683,2.66119,0.0001882,0.0001882,0.0001882
84,61.1674,0.5299,0.76409,0.99019,0.61416,0.38352,0.4744,0.20981,2.0864,2.25904,2.64754,0.0001783,0.0001783,0.0001783
85,61.8883,0.56961,0.77908,1.01078,0.63852,0.42944,0.5297,0.21072,2.07701,2.25665,2.6266,0.0001684,0.0001684,0.0001684
86,62.6176,0.50449,0.7433,0.97843,0.58809,0.56944,0.56255,0.22887,2.03725,2.20936,2.59001,0.0001585,0.0001585,0.0001585
87,63.338,0.55141,0.75595,0.98214,0.61286,0.58502,0.56237,0.23552,2.05826,2.1805,2.62403,0.0001486,0.0001486,0.0001486
88,64.0664,0.50774,0.73871,0.99516,0.65487,0.5113,0.55736,0.24009,2.06015,2.2267,2.67779,0.0001387,0.0001387,0.0001387
89,64.8557,0.50269,0.71857,0.97651,0.68732,0.51512,0.55845,0.23869,2.04496,2.21147,2.67538,0.0001288,0.0001288,0.0001288
90,65.5862,0.51637,0.72851,0.97739,0.61541,0.55062,0.54516,0.22895,2.02204,2.18083,2.62327,0.0001189,0.0001189,0.0001189
91,67.0783,0.47418,1.05767,0.95873,0.61554,0.55615,0.52643,0.22427,2.03045,2.1733,2.61034,0.000109,0.000109,0.000109
92,67.8199,0.42551,0.95718,0.92855,0.54187,0.56944,0.49324,0.2089,2.04827,2.31078,2.62757,9.91e-05,9.91e-05,9.91e-05
93,68.5345,0.43295,1.00373,0.94216,0.50479,0.51625,0.42243,0.20126,2.03823,2.39614,2.61835,8.92e-05,8.92e-05,8.92e-05
94,69.2593,0.40942,1.00692,0.94347,0.49349,0.527,0.41799,0.18373,2.02668,2.55143,2.62836,7.93e-05,7.93e-05,7.93e-05
95,69.9747,0.41428,1.00232,0.9349,0.44813,0.46462,0.39538,0.16729,2.01721,2.59642,2.61455,6.94e-05,6.94e-05,6.94e-05
96,70.6929,0.42546,1.06038,0.94448,0.47378,0.46403,0.40191,0.16544,2.02073,2.60551,2.64099,5.95e-05,5.95e-05,5.95e-05
97,71.4071,0.36912,0.97125,0.89745,0.48001,0.46024,0.39823,0.16229,2.01131,2.58798,2.65166,4.96e-05,4.96e-05,4.96e-05
98,72.1359,0.36819,0.91155,0.89851,0.48161,0.46695,0.39292,0.1665,1.98914,2.47024,2.63401,3.97e-05,3.97e-05,3.97e-05
99,72.857,0.39838,0.90982,0.91389,0.47769,0.46676,0.39501,0.17198,1.98101,2.43001,2.62282,2.98e-05,2.98e-05,2.98e-05
100,73.5784,0.36779,0.89377,0.87759,0.50785,0.5264,0.45062,0.19171,1.92948,2.38594,2.543,1.99e-05,1.99e-05,1.99e-05
