epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,142.87,0.84355,0.84464,1.2019,0.26974,0.25352,0.21551,0.09373,2.26344,3.18679,3.01759,0.00095941,0.00095941,0.00095941
43,146.194,0.82281,0.81937,1.17612,0.54318,0.31911,0.33071,0.14766,2.10106,2.59624,2.73075,0.00095842,0.00095842,0.00095842
44,149.526,0.79907,0.80937,1.17661,0.58106,0.37006,0.42987,0.216,1.91767,2.43336,2.43187,0.00095743,0.00095743,0.00095743
45,152.857,0.838,0.82998,1.22754,0.37664,0.27096,0.276,0.10726,2.34101,2.92603,3.0299,0.00095644,0.00095644,0.00095644
46,156.182,0.79497,0.8062,1.15988,0.16256,0.22221,0.12085,0.04113,2.53731,4.02203,3.39446,0.00095545,0.00095545,0.00095545
47,159.504,0.84503,0.83714,1.2127,0.47807,0.28884,0.26955,0.0833,2.52112,3.63789,3.40198,0.00095446,0.00095446,0.00095446
48,162.832,0.82303,0.81101,1.20814,0.26357,0.25604,0.16144,0.0691,2.71971,3.65682,3.70862,0.00095347,0.00095347,0.00095347
49,166.158,0.815,0.79485,1.21541,0.59638,0.32417,0.36803,0.16647,2.21012,2.82528,2.82981,0.00095248,0.00095248,0.00095248
50,169.483,0.78734,0.79549,1.18732,0.42818,0.26098,0.32196,0.15284,2.1624,2.92911,2.84693,0.00095149,0.00095149,0.00095149
51,172.806,0.77385,0.77612,1.16358,0.3734,0.41333,0.33481,0.17684,2.03794,2.52593,2.73067,0.0009505,0.0009505,0.0009505
52,176.137,0.73352,0.71851,1.15219,0.45644,0.40543,0.38976,0.17678,2.01447,2.36458,2.58028,0.00094951,0.00094951,0.00094951
53,179.468,0.73964,0.74199,1.15303,0.40819,0.42303,0.4033,0.16703,2.04279,2.30952,2.64375,0.00094852,0.00094852,0.00094852
54,182.818,0.77433,0.77347,1.18218,0.43897,0.37371,0.41295,0.20044,2.14376,2.33333,2.85192,0.00094753,0.00094753,0.00094753
55,186.201,0.77903,0.74712,1.17162,0.4886,0.38,0.41588,0.18769,2.04513,2.60247,2.67641,0.00094654,0.00094654,0.00094654
56,189.558,0.78516,0.73502,1.17298,0.44869,0.46935,0.44075,0.1987,2.06767,2.28685,2.70103,0.00094555,0.00094555,0.00094555
57,192.881,0.76376,0.73998,1.1657,0.41479,0.43737,0.45235,0.2019,1.97953,2.08814,2.54045,0.00094456,0.00094456,0.00094456
58,196.199,0.7407,0.70592,1.14882,0.4288,0.33664,0.34114,0.16285,2.10267,2.52739,2.62515,0.00094357,0.00094357,0.00094357
59,199.528,0.77984,0.75552,1.19593,0.32273,0.37687,0.29602,0.13569,2.12116,2.85618,2.67352,0.00094258,0.00094258,0.00094258
60,202.852,0.76911,0.71786,1.16407,0.19402,0.32166,0.21592,0.09831,2.29943,3.76839,2.92657,0.00094159,0.00094159,0.00094159
61,206.442,0.75322,0.72554,1.15647,0.41433,0.25991,0.33426,0.13235,2.23498,2.89475,2.81283,0.0009406,0.0009406,0.0009406
62,209.779,0.70136,0.69652,1.12415,0.4733,0.22525,0.3505,0.15608,1.99429,2.352,2.59608,0.00093961,0.00093961,0.00093961
63,213.104,0.72965,0.69598,1.14902,0.40292,0.29953,0.33379,0.15915,2.09127,2.46196,2.75856,0.00093862,0.00093862,0.00093862
64,216.426,0.71606,0.70008,1.13437,0.36038,0.35179,0.34712,0.15714,2.16341,2.94689,2.92018,0.00093763,0.00093763,0.00093763
65,219.77,0.7179,0.65718,1.12906,0.47854,0.27006,0.31524,0.13639,2.13556,2.87795,2.85153,0.00093664,0.00093664,0.00093664
66,223.121,0.73382,0.68967,1.14554,0.43202,0.31448,0.35168,0.18621,2.1556,2.68364,2.80883,0.00093565,0.00093565,0.00093565
67,226.556,0.67899,0.6576,1.1121,0.41648,0.38772,0.39358,0.18611,2.10018,2.41106,2.7121,0.00093466,0.00093466,0.00093466
68,230.209,0.70217,0.65884,1.12315,0.52725,0.21765,0.28123,0.14035,2.09856,2.90528,2.71885,0.00093367,0.00093367,0.00093367
69,233.545,0.72686,0.68479,1.14018,0.35799,0.30147,0.31099,0.15652,2.13584,2.74437,2.88233,0.00093268,0.00093268,0.00093268
70,236.87,0.7295,0.68848,1.13829,0.49099,0.29411,0.36004,0.15305,2.11609,2.91753,2.65958,0.00093169,0.00093169,0.00093169
71,240.212,0.71218,0.68784,1.13412,0.46089,0.43848,0.38634,0.15959,2.39419,2.33095,3.45417,0.0009307,0.0009307,0.0009307
72,243.544,0.70538,0.70259,1.1464,0.31505,0.40157,0.34963,0.13256,2.53036,2.66753,3.44256,0.00092971,0.00092971,0.00092971
73,246.869,0.67871,0.62386,1.09771,0.58162,0.36839,0.41391,0.21037,2.16358,2.30243,2.89963,0.00092872,0.00092872,0.00092872
74,250.197,0.7031,0.65772,1.13303,0.47524,0.4349,0.39434,0.19338,2.05354,2.24994,2.69252,0.00092773,0.00092773,0.00092773
75,253.531,0.69147,0.63175,1.10015,0.54708,0.42927,0.49655,0.24384,2.01064,1.92045,2.61636,0.00092674,0.00092674,0.00092674
76,256.879,0.66211,0.64374,1.10252,0.55939,0.38218,0.50715,0.24095,1.98242,1.84507,2.61901,0.00092575,0.00092575,0.00092575
77,260.201,0.64757,0.60473,1.07689,0.46024,0.37351,0.40375,0.18565,2.10991,2.2096,2.77312,0.00092476,0.00092476,0.00092476
78,263.521,0.68086,0.60534,1.10842,0.38957,0.41639,0.3786,0.17274,2.05019,2.4304,2.79677,0.00092377,0.00092377,0.00092377
79,266.845,0.66386,0.62768,1.09507,0.3926,0.42782,0.41508,0.20086,2.03212,2.25384,2.77877,0.00092278,0.00092278,0.00092278
80,270.176,0.64546,0.59707,1.09269,0.34086,0.34709,0.33121,0.14178,2.27014,2.74045,3.15801,0.00092179,0.00092179,0.00092179
81,273.505,0.65718,0.6066,1.10885,0.41179,0.40325,0.35784,0.14235,2.23377,2.49722,3.05116,0.0009208,0.0009208,0.0009208
